userid,placeid,rating,food_rating,service_rating,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,hijos,birth_year,interest,religion,activity,color,weight,budget,height,rcuisine_x,rcuisine_y,rpayment,parking_lot,hours,days,marital_status_single,marital_status_widow,personality_hard-worker,personality_hunter-ostentatious,personality_thrifty-protector,family_activity_match,budget_service_score,dining_experience_score,location_score,cuisine_match,accessibility_score,social_dining_score,budget_numeric
u1108,135074,2,2,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,contemporary,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.131086,0,3.0,3,2
u1108,135028,1,1,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,mexican,cash,none,13:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.0,123.131086,0,2.0,3,2
u1108,135085,1,2,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,fast_food,cash,public,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.131086,0,3.0,3,2
u1108,135032,2,1,2,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,cafeteria,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,4,1.5,123.131086,0,3.0,3,2
u1108,135086,1,1,0,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,burgers,cash,yes,08:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,0,0.5,123.131086,0,3.0,3,2
u1108,132723,2,2,2,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,mexican,cash,public,06:30-15:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,4,2.0,123.131086,0,3.0,3,2
u1108,135046,1,2,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,fast_food,cash,yes,08:30-21:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.131086,0,3.0,3,2
u1108,135058,1,1,1,22.143524,-100.987562,False,abstemious,informal,solitary,public,independent,1983,technology,catholic,student,blue,76.0,medium,1.81,cafe-coffee_shop,pizzeria,cash,public,13:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.0,123.131086,0,3.0,3,2
u1055,135051,1,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,unknown,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1055,135075,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,seafood,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,4.0,1,2
u1055,132572,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,cafeteria,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,4.0,1,2
u1055,135028,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,mexican,cash,none,13:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1055,135025,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,mexican,cash,none,18:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1083,132572,2,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,cafeteria,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,0,1.0,2,2
u1083,135049,0,0,0,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,seafood,cash,none,12:00-20:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.0,123.162293,0,0.0,2,2
u1055,135106,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,mexican,cash,none,18:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1083,135072,1,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,japanese,cash,none,13:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,0,0.0,2,2
u1083,135074,2,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,contemporary,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,0,1.0,2,2
u1083,132755,2,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,mexican,cash,public,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,1,1.0,2,2
u1083,135044,1,2,2,22.13392,-101.028373,False,abstemious,,unknown,unknown,unknown,1981,none,none,unknown,yellow,40.0,medium,1.6,mexican,chinese,cash,none,13:00-22:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.162293,0,0.0,2,2
u1055,135048,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,bar,cash,yes,11:00-22:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,4.0,1,2
u1055,135047,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,unknown,cash,yes,08:00-23:30;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,4.0,1,2
u1055,132754,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,mexican,cash,none,08:00-20:00;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1055,132825,2,2,2,22.143289,-100.987683,False,abstemious,no preference,family,car owner,dependent,1952,none,catholic,professional,blue,70.0,medium,1.66,breakfast-brunch,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",False,False,True,False,False,0,4,2.0,123.130972,0,3.0,1,2
u1053,135076,1,1,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,yes,12:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.0,123.162504,0,3.0,2,1
u1053,135032,2,2,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,cafeteria,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.5,123.162504,0,3.0,2,1
u1053,132825,1,2,0,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,0,1.0,123.162504,1,2.0,2,1
u1053,135063,2,1,2,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,none,08:30-19:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.162504,0,2.0,2,1
u1053,135042,2,1,2,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,chinese,cash,none,11:00-21:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.162504,0,2.0,2,1
u1053,135053,2,2,0,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,cafeteria,cash,yes,11:00-22:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,0,1.0,123.162504,0,3.0,2,1
u1053,132754,1,2,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,mexican,cash,none,08:00-20:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.5,123.162504,1,2.0,2,1
u1053,135081,2,2,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,none,14:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.5,123.162504,0,2.0,2,1
u1053,135025,2,1,2,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,mexican,cash,none,18:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.162504,1,2.0,2,1
u1053,135038,2,1,2,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,none,08:00-17:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.162504,0,2.0,2,1
u1053,135060,2,2,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,seafood,cash,none,11:30-19:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.5,123.162504,0,2.0,2,1
u1053,135062,2,1,1,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,1,1.0,123.162504,0,3.0,2,1
u1053,135047,2,2,2,22.175833,-100.986671,False,casual drinker,informal,family,public,independent,1990,variety,catholic,student,red,66.0,low,1.72,mexican,unknown,cash,yes,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,2.0,123.162504,0,3.0,2,1
u1064,135042,1,2,1,22.139511,-100.957002,False,casual drinker,formal,solitary,public,independent,1991,variety,none,student,blue,94.0,medium,1.77,mexican,chinese,cash,none,11:00-21:30;,"mon, tue, wed, thu, fri, ",True,False,False,True,False,0,2,1.5,123.096513,0,2.0,4,2
u1081,135069,1,0,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,bar,cash,yes,09:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,0.5,123.15013200000001,0,3.0,2,1
u1064,135057,1,1,2,22.139511,-100.957002,False,casual drinker,formal,solitary,public,independent,1991,variety,none,student,blue,94.0,medium,1.77,mexican,bar,cash,yes,13:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,False,True,False,0,4,1.5,123.096513,0,3.0,4,2
u1081,135076,1,2,2,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,unknown,cash,yes,12:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,2.0,123.15013200000001,0,3.0,2,1
u1081,135043,0,0,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,fast_food,cash,none,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,0.5,123.15013200000001,0,2.0,2,1
u1064,135069,0,0,1,22.139511,-100.957002,False,casual drinker,formal,solitary,public,independent,1991,variety,none,student,blue,94.0,medium,1.77,mexican,bar,cash,yes,09:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,True,False,0,2,0.5,123.096513,0,3.0,4,2
u1081,135039,0,0,0,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,seafood,cash,yes,10:00-20:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.0,123.15013200000001,0,3.0,2,1
u1064,135060,1,0,1,22.139511,-100.957002,False,casual drinker,formal,solitary,public,independent,1991,variety,none,student,blue,94.0,medium,1.77,mexican,seafood,cash,none,11:30-19:00;,"mon, tue, wed, thu, fri, ",True,False,False,True,False,0,2,0.5,123.096513,0,2.0,4,2
u1064,135052,2,0,2,22.139511,-100.957002,False,casual drinker,formal,solitary,public,independent,1991,variety,none,student,blue,94.0,medium,1.77,mexican,bar,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,True,False,0,4,1.0,123.096513,0,2.0,4,2
u1081,132825,1,0,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,0.5,123.15013200000001,1,2.0,2,1
u1081,135032,0,1,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,cafeteria,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,1.0,123.15013200000001,0,3.0,2,1
u1081,135028,1,2,2,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,mexican,cash,none,13:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,2.0,123.15013200000001,1,2.0,2,1
u1081,135085,1,2,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,fast_food,cash,public,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,1.5,123.15013200000001,0,3.0,2,1
u1081,135052,0,1,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,bar,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,1.0,123.15013200000001,0,2.0,2,1
u1081,135030,1,1,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,cafe-coffee_shop,cash,none,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,1.0,123.15013200000001,0,2.0,2,1
u1081,135027,0,1,1,22.207749,-100.942383,False,casual drinker,informal,family,public,independent,1991,variety,catholic,student,green,52.0,low,1.54,mexican,mexican,cash,none,08:00-22:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,1,1.0,123.15013200000001,1,2.0,2,1
u1001,132830,1,1,1,22.139997,-100.978803,False,abstemious,informal,family,on foot,independent,1989,variety,none,student,black,69.0,medium,1.77,american,unknown,unknown,none,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.0,123.1188,0,1.0,1,2
u1001,132825,2,2,1,22.139997,-100.978803,False,abstemious,informal,family,on foot,independent,1989,variety,none,student,black,69.0,medium,1.77,american,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",True,False,False,False,True,0,2,1.5,123.1188,0,1.0,1,2
u1088,132830,0,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,unknown,none,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,1.0,0,2
u1088,135108,2,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,unknown,none,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,1.0,0,2
u1088,135057,1,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,bar,cash,yes,13:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,2.0,0,2
u1088,135041,2,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,bar,cash,none,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,1.0,0,2
u1088,135069,1,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,bar,cash,yes,09:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,2.0,0,2
u1088,135082,2,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,cash,none,10:00-18:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,1.0,0,2
u1088,135071,0,0,0,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,bar,cash,yes,13:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.0,123.083412,0,2.0,0,2
u1088,135054,2,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,seafood,cash,yes,07:00-19:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,2.0,0,2
u1088,135070,2,2,1,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,cash,yes,07:00-23:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.5,123.083412,0,2.0,0,2
u1088,135032,2,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,cafeteria,cash,public,07:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,2.0,0,2
u1088,135081,1,2,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,cash,none,14:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.083412,0,1.0,0,2
u1088,135051,2,1,2,22.142748,-100.940664,False,social drinker,informal,family,on foot,independent,1991,none,catholic,student,blue,62.0,medium,1.6,mexican,unknown,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,1.5,123.083412,0,1.0,0,2
u1056,135066,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,yes,07:00-23:00;,"sat, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,2.0,0,2
u1056,135050,0,0,0,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,yes,12:00-19:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.0,123.14337300000001,0,2.0,0,2
u1056,135076,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,yes,12:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,2.0,0,2
u1056,135081,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,none,14:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,1.0,0,2
u1056,135062,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,yes,00:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,2.0,0,2
u1056,135027,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,mexican,cash,none,08:00-22:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,1,1.0,0,2
u1056,135085,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,fast_food,cash,public,00:00-00:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,2.0,0,2
u1056,135052,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,bar,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,1.0,0,2
u1056,132825,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,1,1.0,0,2
u1056,135051,2,2,2,22.168997,-100.974376,False,social drinker,informal,family,on foot,independent,1930,none,catholic,student,yellow,61.0,medium,1.62,mexican,unknown,cash,none,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.14337300000001,0,1.0,0,2
u1134,135047,1,1,1,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,unknown,cash,yes,08:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.0,123.148264,0,3.0,2,2
u1134,135026,0,0,0,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,bar,unknown,none,13:30-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.0,123.148264,0,2.0,2,2
u1134,135044,1,1,1,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,chinese,cash,none,13:00-22:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.0,123.148264,0,2.0,2,2
u1134,132825,1,2,1,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,mexican,cash,none,09:00-12:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.5,123.148264,1,2.0,2,2
u1134,135059,2,1,0,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,bar,cash,yes,12:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,0,0.5,123.148264,0,3.0,2,2
u1134,135065,2,2,2,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,unknown,cash,none,14:00-23:30;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,4,2.0,123.148264,0,2.0,2,2
u1134,135046,2,1,1,22.149654,-100.99861,False,casual drinker,no preference,family,public,independent,1991,variety,catholic,student,black,52.0,medium,1.65,mexican,fast_food,cash,yes,08:30-21:00;,"mon, tue, wed, thu, fri, ",True,False,True,False,False,0,2,1.0,123.148264,0,3.0,2,2
